元素	(keV)	質量%	σ	原子数%	化合物	質量%	カチオン数	K
C  K	0.277	7.06	0.08	21.10				2.2802
O  K	0.525	17.40	0.18	39.06				17.5818
Al K	1.486	0.46	0.03	0.62				0.2963
Si K	1.739	6.42	0.07	8.21				5.2096
K  K	3.312	0.89	0.03	0.82				0.8979
Cr K	5.411	5.63	0.08	3.89				6.5443
Fe K	6.398	3.24	0.06	2.08				3.9627
Ni K	7.471	31.96	0.22	19.55				38.0931
Pb M	2.342	26.94	0.25	4.67				25.1342
合計		100.00		100.00
